ID;Kasutusotstarve;Kasutusotstarve_ID;Maakond;KOV;KOV_voi_LinnaOsa;Esmane_Kasutuselevotu_Aasta;Ajastu;;Hooneosade_Arv;Hooneosade_Arv_Normaliseeritud;Ruumide_Arv;Rummide_arv_vannitoata;Maksimaalne_Korruste_Arv
144;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1964;1961-1970;1950-1980;48;50;204;156;4
128;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Tori vald; Sauga alevik;1984;1981-1990;>1980;12;10;55;43;2
168;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Tõstamaa alevik;1975;1971-1980;1950-1980;18;20;87;69;3
TP27;Muu kolme või enama korteriga elamu;11222;Pärnu maakond; Pärnu linn; Pärnu linn;1980;1971-1980;1950-1980;40;40;107;80;3
350;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1963;1961-1970;1950-1980;34;30;136;102;4
77;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu vald; Kõrveküla alevik;1987;1981-1990;>1980;18;20;85;67;3
228;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Tartu linn; Tartu linn;1988;1981-1990;>1980;15;20;61;46;3
32;Muu kolme või enama korteriga elamu;11222;Tartu maakond; Elva vald; Elva linn;1975;1971-1980;1950-1980;18;20;87;69;3
364;Muu kolme või enama korteriga elamu;12339;Tartu maakond; Tartu linn; Tartu linn;1961;1961-1970;1950-1980;44;40;160;116;4
213;Muu kolme või enama korteriga elamu;11222;Saare maakond; Saaremaa vald; Kuressaare linn;1988;1981-1990;>1980;18;20;84;66;3
162;Muu kolme või enama korteriga elamu;11222;Saare maakond; Saaremaa vald; Valjala alevik;1976;1971-1980;1950-1980;18;20;87;69;3
337;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1974;1971-1980;1950-1980;24;20;134;110;4
TP14;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1968;1961-1970;1950-1980;38;40;161;123;4
TP20;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1986;1981-1990;>1980;27;30;123;96;3
204;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1989;1981-1990;>1980;27;30;110;83;3
360;Muu kolme või enama korteriga elamu;11222;Lääne-Viru maakond; Rakvere linn; Rakvere linn;1966;1961-1970;1950-1980;48;50;204;156;4
