ID,Kasutusotstarve,Kasutusotstarve_ID,Maakond,KOV,KOV_voi_LinnaOsa,Esmane_Kasutuselevotu_Aasta,Ajastu,Aeg,Hooneosade_Arv,Hooneosade_Arv_Normaliseeritud,Ruumide_Arv,Rummide_arv_vannitoata,Maksimaalne_Korruste_Arv,Liftid,Trepikodade_Arv,MaaAluste_Korruste_Arv,Korgus,Korgus_Umardatud,Laius,Pikkus,EhitusAlune_Pindala,Suletud_Netopindala,Building_Common_Area,Heated_Area,Välisseina_liik,Valisnurkade Arva,Sisenurkade Arv,Mitu otsaseina soojustatud?,Kande- ja jäigastavate konstruktsioonide materjal,Välisseina liik,Välisseina välisviimistluse materjal,Katusekatte materjal,Soojusvarustuse liik,Lamekatus_0/1,kahepoolne_kaldkatus_0/1,ühepoole_kaldkatus_0/1,Lodzad_0/1,Rõdud_0/1,Otstes aknad_0/1,Energy_Certificate_Class,Asein_märgis,Aaken_märgis,Aken/sein,Heated/6.25,A märgis/A arv(köetavast pinnast),Akende pindala vastavalt tubade arvule,A märgis/A arv(ktubade arv),kütte kommentaar
113,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1966,1961-1970,1950-1980,90,90,398,308,5,0,6,1,15.5,15.5,12.2,92.3,1145,5660,1312.1,4658,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu. krohv,bituumen või  PVC  plaat või rullmaterjal,lokaalküte. kaugküte,1,0,0,0,1,1,C,1712,813.6,0.322,745.28,0.916027532,699.16,0.8593412,pole
114,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1968,1961-1970,1950-1980,59,60,238,179,5,0,4,1,15.6,15.5,0,0,677,3515.9,838.4,2884.6,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,0,1,0,0,1,1,B,964.6,330.9,0.255,461.54,1.394789967,406.33,1.227954065,pole
115,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1968,1961-1970,1950-1980,60,60,240,180,5,0,4,1,15.6,15.5,0,0,676,3534.7,844.5,2992.6,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,0,1,0,0,1,1,C,0,1,0.000,478.82,478.816,414,414,pole
120,Muu kolme või enama korteriga elamu,11222,Lääne-Viru maakond, Rakvere linn, Rakvere linn,1973,1971-1980,1950-1980,30,30,120,90,5,0,4,1,15.7,15.5,23.7,58,760.3,3338.1,403.7,2770.5,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,C,0,1,0.000,443.28,443.28,207,207,pole
120,Muu kolme või enama korteriga elamu,11222,Lääne-Viru maakond, Rakvere linn, Rakvere linn,1973,1971-1980,1950-1980,30,30,120,90,5,0,4,1,15.7,15.5,23.7,58,760.3,3338.1,403.7,2770.5,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,C,0,1,0.000,443.28,443.28,207,207,pole
148,Muu kolme või enama korteriga elamu,11222,Tartu maakond, Tartu linn, Tartu linn,1972,1971-1980,1950-1980,144,140,649,505,9,4,4,1,26.8,27,0,0,1139,9633.3,1186.7,8024,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,1,1,C,0,1,0.000,1283.84,1283.84,1161.5,1161.5,pole
154,Muu kolme või enama korteriga elamu,11222,Harju maakond, Jõelähtme vald, Kostivere alevik,1972,1971-1980,1950-1980,36,40,144,108,3,0,4,1,10.3,10.5,0,0,676,2340.3,725.2,1784,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,1,1,C,612.2,260.1,0.298,285.44,1.097424068,245.16,0.942560554,pole
158,Muu kolme või enama korteriga elamu,11222,Rapla maakond, Kohila vald, Kohila alev,1990,1981-1990,>1980,60,60,240,180,5,0,5,1,15.5,15.5,0,0,777,3773.2,730.6,3254,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,1,0,0,E,3769.6,569.6,0.131,520.64,0.914044944,408.6,0.717345506,pole
176,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Mustamäe linnaosa,1970,1961-1970,1950-1980,89,90,377,288,5,0,6,1,18,18,12.2,92.3,1121.8,5662.1,1259.8,4632,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,krohv,plekk,kaugküte. lokaalküte,0,1,0,0,1,1,C,2371,724,0.234,741.12,1.023646409,653.76,0.902983425,pole
194,Muu kolme või enama korteriga elamu,11222,Harju maakond, Tallinn, Haabersti linnaosa,1975,1971-1980,1950-1980,144,140,612,468,9,4,4,1,29.4,29.5,0,0,1187,9540.4,1858.8,8680,suurpaneel,4,0,0,monteeritav raudbetoon,mitmekihiline raudbetoonpaneel,muu,bituumen või  PVC  plaat või rullmaterjal,kaugküte,1,0,0,0,0,0,E,0,1,0,1388.80,1388.8,1076.4,1076.4,pole
